,x,y,z
0,-641.2197561015296,650.7561596158557,1062.8713898323508
1,-562.3759785533425,-877.1251914823531,1084.7755387414352
2,-242.0779725738803,-660.0877634352541,508.16706670901885
3,377.7287177750559,-264.83271301834225,508.16706670901885
4,941.2810842201563,619.978935618303,1385.1000301004283
5,868.9066694515852,-313.54653051420144,1242.3445622487986
6,-319.8083962516471,237.0480453201219,508.16706670901885
7,125.17725680926719,575.994252773452,508.16706670901885
8,-316.66437792105944,-247.821919546255,508.16706670901885
9,-577.9438650259194,552.9520195035236,943.8470097948419
10,676.6246587099995,-277.61735830319265,992.4079493831837
11,-303.6729420697644,139.33678511143535,508.16706670901885
12,344.34316209109306,522.6658173317023,508.16706670901885
13,-868.0667788237089,-83.75156262968187,1219.4806644361583
14,-615.8993828781736,290.96102693180865,906.4453436495643
15,668.3083295130368,559.2982989676216,1060.3231722606245
16,826.6326282502957,671.912153828242,1275.9809055887476
17,-126.26137141320874,-550.6407201838775,508.16706670901885
18,795.0777645831727,-412.69769948085263,1172.3076370083695
19,-74.32785262281777,376.93532729073695,508.16706670901885
20,390.589704570144,-378.87792740676275,508.16706670901885
21,-269.52856080178356,-812.0689328763153,733.6245915733315
22,-802.6019652705322,-287.86505417044907,1158.4311447575124
23,-114.9159375912576,793.5438225457335,508.16706670901885
24,-828.0141414852901,552.9113640133985,1243.9589960571152
25,-54.00587161131989,398.6417419519664,508.16706670901885
26,557.2249110598113,-187.50332274441837,777.7312057352171
27,278.7408263532982,-760.6386269253796,675.1822394330528
28,726.145348624425,413.83960213582714,1088.294376706567
29,-685.1665420744114,-223.77553074854995,994.7678773451082
30,456.21820573335845,-102.19152021862112,508.16706670901885
31,-550.7867457957889,464.7936905707991,866.1028192415108
32,-595.7725921109268,-274.601444765422,870.1574076461341
33,-702.2399983010746,883.2576419139382,1224.4680212164162
34,-512.7718712610301,-635.229873647555,898.756683613328
35,32.92902397626767,285.0843933081917,508.16706670901885
36,-361.7414513268292,-374.49013608318535,508.16706670901885
37,84.64801116518265,-721.5287400055304,508.16706670901885
38,186.57762587338584,633.4222738668695,508.16706670901885
39,709.7109283892489,-506.2782578680308,1093.3002470092301
40,817.9805363706903,-388.2521724785331,1194.6444812905338
41,374.2704293270299,-216.0366357092896,508.16706670901885
42,-823.4015344497983,18.687762973272697,1162.4689302434083
43,103.3528957042904,590.441659061996,508.16706670901885
44,534.3572406202106,98.053443905,705.3078021035763
45,582.9366728230359,-664.8523679458265,1000.8802305379206
46,-615.5330497643213,653.1950383071639,1034.0144340269278
47,-932.9434129813652,-492.213903904797,1347.3425121055875
48,-647.3852177326314,-871.4337621904947,1165.3387943530731
49,704.0486463596287,-523.5110562791851,1091.7047862776465
50,-290.72702589013886,-818.5805038044768,765.8135947526875
51,12.758888537510643,237.41487031421548,508.16706670901885
52,-0.09007240211781209,355.48484178901003,508.16706670901885
53,123.47645268130509,-382.916878953674,508.16706670901885
54,-485.64923847070406,-595.2293881953225,837.4840188952095
55,650.769342377579,-823.0227923010466,1146.8247329990875
56,-664.7537178184275,628.5751764456954,1081.4145216595925
57,474.94661971270943,-41.58349306922787,508.16706670901885
58,447.1551892558323,332.44513729833034,508.16706670901885
59,-396.31837004661816,177.16804752764256,508.16706670901885
60,-882.0134077321322,520.9520493986251,1296.7446373414753
61,803.5151236227275,214.45076914247943,1149.6884993109313
62,21.55303967947384,-7.663614326908373,508.16706670901885
63,-398.5952428475348,690.237123518993,779.7032522114596
64,-498.26344959964564,-489.513709465808,793.0902678002583
65,-375.08284924863847,-339.5249013540289,508.16706670901885
